
51.4982962,-0.1360645,Blewcoat School,attraction,building,,,,,
51.3952047,-0.1452455,,attraction,,,,,,
51.5063878,-0.0882641,London Bridge Experience,attraction,,,,,,
51.4327882,0.1830395,Dartford Heath,attraction,,,,,heath,
51.3530752,0.1902348,Lullingstone Country Park,attraction,,,,,,
51.3553025,-0.1706494,Little Holland House,attraction,,,,,,
51.4481850,0.1602259,Hall Place and Gardens,attraction,,,,,,
51.5265450,-0.1574728,The Bandstand,attraction,,,,,,
51.5287179,-0.1612478,Boat Hire,attraction,,,,,,
51.5660122,-0.1897429,,attraction,,,,,,Sandpit
51.5362114,-0.1278260,St Pancras Lock,attraction,,,,,,
51.5351212,-0.1297369,Hardy Tree,attraction,,,,,tree,
51.5581844,-0.1181116,Nags Head Market,attraction,,marketplace,,,,
51.5234859,-0.0723316,Sunday Market,attraction,,,,,,
51.3561304,-0.3809957,Claremont Landscape Gardens (NT),attraction,,,,,,
51.5073583,-0.1157940,South Bank Book Market,attraction,,,,,,
51.5027478,-0.1159222,London Duck Tours,attraction,,,,,,
51.5352505,-0.1520207,Hyacinth Macaw,attraction,,,,,,
51.5350833,-0.1519646,Military macaw,attraction,,,,,,
51.5335715,-0.1518476,Scarlet Ibis,attraction,,,,,,
51.5344338,-0.1519514,Golden-headed lion tamarin,attraction,,,,,,
51.5364390,-0.1547905,Red-ruffed lemur,attraction,,,,,,
51.5422262,-0.1473387,Cyberdog,attraction,,,,,,
51.5059746,-0.0867003,London Bridge Experience,attraction,,,,,,
51.5348740,-0.1568989,Emus,attraction,,,,,,
51.5350866,-0.1564221,Wallaby,attraction,,,,,,
51.4073110,0.0575736,Chislehurst Caves,attraction,,,,,,
51.4999055,-0.1246195,House of Commons,attraction,,,,,,
51.4988068,-0.1248381,House of Lords,attraction,,,,,,
51.4846327,-0.2598771,Goose's Foot,attraction,,,,,,
51.4844417,-0.2599498,Exedra,attraction,,,,,,
51.5116580,-0.1156740,Roman Bath,attraction,archaeological_site,,,,,
51.3563639,-0.1167858,De Havilland Heron,attraction,aircraft,,,,,
51.5006895,-0.1245838,Big Ben,attraction,technical_monument,clock,,,,
51.5727647,0.0689850,Jacob's Well,attraction,,,,,,
51.3688783,-0.0548851,Shirley Windmill,attraction,building,,,,,
51.5029707,-0.1239626,New Scotland Yard,attraction,,,,,,
51.5055166,-0.0753662,Tower Bridge,attraction,monument,,,,,primary name tag is for English name only
51.5026002,-0.1192189,The London Dungeon,attraction,,,,,,
51.5236013,-0.1584201,London Beatles Store,attraction,,,,,,Beatles Merchandise and Memorabilia
51.5197140,-0.0608064,Jack The Ripper Murder Site: Mary Anne Nichols,attraction,,,,,,
51.5186534,-0.0749624,Jack The Ripper Murder Site: Mary Kelly (13 Miller's Court),attraction,,,,,,
51.5136329,-0.0656356,Jack The Ripper Murder Site: Elizabeth Stride,attraction,,,,,,
51.5203710,-0.0727626,Jack The Ripper Murder Site: Annie Chapman,attraction,,,,,,
51.5069283,-0.1214769,Thames Rib Experience,attraction,,,,,,
