50.0549163,19.8933483,Kopiec Kościuszki,viewpoint,monument,,,,peak,
50.0518072,19.9472747,Eden,hotel,,,,,,
50.0634912,19.9414953,Hotel Pollera,hotel,,,,,,
50.0593233,19.9340281,Fryderykowi Chopinowi,artwork,,,,,,
50.0530165,19.9335881,Smok Wawelski,artwork,,,,,,
50.0380822,19.9584350,Kopiec Krakusa,viewpoint,archaeological_site,,,,peak,"stanowisko archeologiczne obiekt kultowy i pochówek, wczesne średniowiecze, materiał z nasypu kultura łużycka, lateńska, przeworska"
50.0571873,19.9421630,Mundo,hostel,,,,,,
50.0606742,19.9371393,Cracow,hostel,,,,,,
50.0649411,19.9406793,Pomnik Merkuriusza,artwork,,,,,,
50.0632264,19.9403302,Muzeum Farmacji UJ,museum,,,,,,
50.0615617,19.9337367,Muzeum Uniwersytetu Jagiellońskiego,museum,,,,,,
50.0575043,19.9366963,Muzeum Geologiczne PAN,museum,,,,,,
50.0556310,19.9367935,Dom Długosza,museum,,,,,,
50.0633123,19.9417875,Dom Pod Krzyżem,museum,,,,,,
50.0633496,19.9359640,Muzeum Stanisława Wyspiańskiego,museum,,,,,,
50.0554747,19.9415137,Muzeum Przyrodnicze PAN,museum,,,,,,
50.0513931,19.9485742,Muzeum Historii i Kultury Żydów Krakowa,museum,,,,,,
50.0508571,19.9496775,Żydowskie Muzeum Galicja,museum,,,,,,
50.0486624,19.9434852,Muzeum Etnograficzne,museum,,,,,,
50.0478189,19.9438128,Muzeum Etnograficzne (Dom Esterki),museum,,,,,,
50.0616220,19.9426724,Hotel Wit Stwosz,hotel,,,,,,
50.0641540,19.9358288,Old Town Hostel,hostel,,,,,,
50.0635805,19.9344469,Bunkier Sztuki,museum,,,,,,
50.0635273,19.9348404,Antique Apartments,hostel,,,,,,
50.0631550,19.9366497,Szczepańska Apartments,hostel,,,,,,
50.0631806,19.9365572,Hotel Stary,hotel,,,,,,
50.0607132,19.9369438,Hotel Wentzl,hotel,,,,,,
50.0607355,19.9381497,Renesans,hostel,,,,,,
50.0559898,19.9284438,Kossak,hotel,,,,,,
50.0622644,19.9352097,Hostel Flamingo,hostel,,,,,,
50.0629180,19.9337436,"Galeria Sztuki ""Pod Złotym Lewkiem""",gallery,,arts_centre,,,,
50.0628486,19.9338577,Communist Apartments,hostel,,,,,,
50.0633379,19.9374505,Curio Collection by Hilton,hotel,,,,,,
50.0639913,19.9375994,Galeria Kocioł,gallery,,,,,,
50.0640809,19.9376506,Galeria Osobliwości,gallery,,,,,,
50.0636094,19.9377729,Grand Hotel,hotel,,,,,,
50.0644894,19.9413743,Brama,hostel,,,,,,
50.0645396,19.9409555,,information,,,,,,
50.0643299,19.9408172,"Galeria Sztuki Współczesnej ""Labirynt""",gallery,,,,,,
50.0638611,19.9404179,Hokus Pokus,hostel,,,,,,
50.0633754,19.9405470,Tutti Frutti,hostel,,,,,,
50.0632650,19.9403027,,information,,,,,,
50.0631016,19.9403244,,information,,,,,,
50.0630042,19.9397311,Pod Różą,hotel,,,,,,
50.0626590,19.9393575,Hostel Residence Floriańska,hostel,,,,,,
50.0625864,19.9393057,,information,,,,,,
50.0647849,19.9394396,Hotel Francuski,hotel,,,,,,
50.0653275,19.9373153,Agava Guest Rooms,hostel,,,,,,
50.0652135,19.9380022,Galeria Nautilus,gallery,,,,,,
50.0631939,19.9412087,Elektor,hotel,,,,,,
50.0636034,19.9407569,Unicus Hotel,hotel,,,,,,
50.0640869,19.9288994,Logos,hotel,,,,,,
50.0534981,19.9333361,,viewpoint,,,,,,
50.0728378,19.9306207,Delta Hotel,hotel,,,,,,
50.0518537,19.9474497,David Boutique Hotel,hotel,,,,,,
50.0511973,19.9905331,Hotel Junior Krakus,hotel,,,,,,
50.0501991,19.9903488,Unibase prywatny akademik,hotel,,,,,,
50.0508237,19.9899640,Hotel Krakus,hotel,,,,,,
50.0531081,19.9456493,Momotown,hostel,,,,,,
50.0462364,19.9541481,Apteka Pod Orłem,museum,,,,,,
50.0509109,19.9454523,Astoria  מלון אסטוריה,hotel,,,,,,
50.0539819,19.9478438,Columbus,hotel,,,,,,
50.0698896,19.9435089,Greg & Tom Hostel the 2nd,hostel,,,,,,
50.0657567,19.9447989,Greg & Tom Hostel,hostel,,,,,,
50.0532652,19.9345619,Wawel,information,,,,,,
50.0594822,19.9351670,Okno Papieskie,attraction,,,,,,
50.0652058,19.9448223,Hotel Warszawski,hotel,,,,,,
50.0619960,19.9377745,Podziemia Rynku,museum,,,,,,
50.0585373,19.9444318,Smocza Jama,hostel,,,,,,
50.0545092,19.9393285,Royal,hotel,,,,,,
50.0450616,19.9502239,Patria,hostel,,,,,,
50.0629326,19.9431919,City Hostel Kraków,hostel,,,,,,
