53.7726643,20.4458972,Omega Hotel,hotel,,,,,,
53.7774916,20.4777949,Hostel Wysoka Brama,hostel,,,,,,
53.7816220,20.4876794,Hotel Dyplomat,hotel,,,,,,
53.7751932,20.4912948,Planetarium,museum,,,,,,
53.7828007,20.4745021,Na Skarpie,hotel,,,,,,
53.7768926,20.4740211,Polsko-Niemieckie Centrum Młodzieży Europejskiej,hotel,,,,,,
53.7555649,20.4591032,Hotel Żak,hotel,,,,,,
53.7748584,20.4914596,BWA Olsztyn Galeria Sztuki,museum,,,,,,
53.7611864,20.4943264,Muzeum Przyrody,museum,,,,,,
53.7773103,20.4780772,Wojewódzkie Centrum Informacji Turystycznej,information,,,,,,
53.7772543,20.4764256,Tyrolski,hostel,,,,,,
53.7790261,20.4907642,Warmiński Hotel & Conference,hotel,,,,,,
53.7750309,20.4819982,,picnic_site,,,,,,
53.7750481,20.4818628,,picnic_site,,,,,,
53.7750373,20.4817359,,picnic_site,,,,,,
53.7749502,20.4813745,,picnic_site,,,,,,
53.7747882,20.4811109,,information,,,,,,
53.7727720,20.5080534,Hotel stadion,hotel,,,,,,
53.7710926,20.4704898,Dom Anderssona,hostel,,,,,,
53.7790981,20.4799566,Informacja turystyczna,information,,,,,,
53.7779060,20.4719640,Wiosna,artwork,,,,,,
53.7964113,20.5122047,Pułapka na dziki,attraction,,,,,,
53.7766077,20.4773442,Muzeum Archidiecezjalne,museum,,,,,,
53.7573735,20.4997225,,artwork,,,,,,
53.7776062,20.4746499,Muzeum Warmii i Mazur,museum,,,,,,
53.7854460,20.4986226,Інформаційний пункт воєводського управління,information,,,,,,
53.7853867,20.4499852,Bursa nr 1 w Olsztynie,hostel,,,,,,
53.7836803,20.4530250,Bursa nr 2 w Olsztynie,hostel,,,,,,
53.7671286,20.4863743,Bursa nr 3 w Olsztynie,hostel,,,,,,
53.7754625,20.4780419,,artwork,,,,,,
53.7763529,20.4755879,,artwork,,,,,,
53.7783931,20.4868745,,artwork,,,,,,
