54.3478900,18.6546948,Radisson Blu,hotel,,,,,,
54.3482006,18.6553042,Gdańskie Centrum Informacji Turystycznej,information,,,,,,
54.3493762,18.7056206,Gdański Dom Turystyczny,hotel,,,,,,
54.3548344,18.6596937,Muzeum Archeologiczne,museum,,,,,,
54.3594315,18.6426764,Baltic,hostel,,,,,,
54.3363059,18.6321898,Szaniec Jezuicki,attraction,,,,,,
54.3502702,18.6599740,Bosmanat Mariny Gdańsk,information,,,,,,
54.3483938,18.6479105,Dom Harcerza,hotel,,,,,,
54.3537083,18.6574981,,information,,,,,,
54.3503420,18.6541658,Kamienne serce Gdańska,artwork,,,,,,
54.3487693,18.6695383,,information,,,,,,
54.3492260,18.6529114,Artus Hotel,hotel,,,,,,
54.3478678,18.6557171,Muzeum Narodowe w Gdańsku o/Zielona Brama,museum,,,,,,
54.3476659,18.6476314,,information,,,,,,
54.3731395,18.6075964,Wzgórze Następcy Tronu,viewpoint,,,,,peak,
54.3450667,18.6620759,Dom Muzyka,hotel,,,,,,
54.3453580,18.6630188,Dom Sonata,hostel,,,,,,
54.3576410,18.6402587,Góra Gradowa,viewpoint,,,,,peak,
54.3486197,18.6034478,,viewpoint,,,,,,
54.3467719,18.6217058,Willa Jolanta,guest_house,,,,,,
54.3507806,18.6495214,Wolne Miasto,hotel,,,,,,
54.3529585,18.6511482,,information,,,,,,
54.3545123,18.6600958,Hotel Grand Cru,hotel,,,,,,
54.3661901,18.6270195,doktor Stefan Michalak,artwork,,,,,,
54.3501739,18.6481461,"Pomnik Milenijny ""Drzewo ze stali""",artwork,,,,,,
54.3513822,18.6537026,,information,,,,,,
54.3516339,18.6457146,,information,,,,,,
54.3605933,18.6498296,Brama nr 2,attraction,,,,,,
54.3485950,18.6554911,Pokoje gościnne w Domu Studenta ASP,guest_house,,,,,,
54.3691177,18.6177366,Szubieniczna Góra,viewpoint,,,,,peak,
54.3493414,18.6565215,Muzeum Archeologiczne,museum,,,,,,
54.3541593,18.6499976,Muzeum Bursztynu,museum,,,,,,
54.3448232,18.6551556,"Centrum Edukacji Archeologicznej ""BŁĘKITNY LEW""",museum,,,,,,
54.3500716,18.6571114,Apartamenty Goldwasser,hotel,,,,,,
54.3499144,18.6523187,,viewpoint,,,,,,
54.3532608,18.6573671,MOSiR,information,,,,,,
54.3487915,18.6526589,Ratusz Głównego Miasta,viewpoint,,,,,,
54.3497079,18.6568876,Sound,hostel,,,,,,
54.3484479,18.6513591,Kamienica Zacisze,guest_house,,,,,,
54.3548665,18.6375690,,viewpoint,,,,,,
54.3574822,18.6400261,,information,,,,,,
54.3498303,18.6544417,Galeria Wydra,guest_house,,,,,,
54.3614369,18.6499826,,viewpoint,,,,,,
54.3429283,18.6534530,Miniloft,hotel,,,,,,
54.3438106,18.6279926,Villa Anna,guest_house,,,,,,
54.3403722,18.6571198,Tramwaj Konstal 105Na,attraction,locomotive,,,,,Nr taborowy 1241
54.3518593,18.6497128,Kwiat Życia i Pokoju,artwork,,,,,,
54.3523541,18.6497453,Pomnik Dariusza Kobzdeja,artwork,,,,,,
54.3485406,18.6526923,PTTK,information,,,,,,
54.3472907,18.6295802,AgaTomDom,guest_house,,,,,,
54.3488776,18.6473567,Universus,hostel,,,,,,
54.3497342,18.6569227,Hostal 4-friends,hostel,,,,,,
54.3516427,18.6569848,Hostel Dom Zachariasza Zappio,hostel,,,,,,
54.3483269,18.6546600,Holland house,hotel,,,,,,
54.3522214,18.6473418,3City Hostel,hostel,,,,,,
54.3504849,18.6602471,Podewils,hotel,,,,,,
54.3515064,18.6576887,Grand Hostel Gdańsk,hostel,,,,,,
