59.9179908,10.7401661,St. Olavs plass,artwork,,,,,,
59.9107282,10.7325217,,artwork,,,,,,A tiny sculpture of a merman https://www.dagsavisen.no/oslo/mysteriet-med-den-skjeggete-lille-havfruen-1.1150688
59.9182220,10.7397121,Scandic St. Olavs plass,hotel,,,,,,
59.9184458,10.7341083,"Radisson Blu Scandinavia Hotel, Oslo",hotel,,,,,,
59.9170467,10.7420284,Thon Hotel Munch,hotel,,,,,,
59.9078026,10.7357625,Norges hjemmefrontmuseum,museum,,,,,,
59.9140785,10.7363744,Henrik Wergeland,artwork,,,,,,
59.9051872,10.7374904,Deportasjonsmonumentet,artwork,monument,,,,,Commissioned in 2000 by the Norwegian government to commemorate 532 Norwegian Jews put on board the ship Donau 1942-11-26 from this site and deported to the death camp at Auschwitz + other later deportations from other sites.
59.9196409,10.7344084,Scandic Holberg,hotel,,,,,,
59.9019788,10.7673545,Gamlebyen,information,,,,,,
59.9179070,10.7349390,Thon Hotel Europa,hotel,,,,,,
59.9138017,10.7395270,Grand Hotel,hotel,,,,,,
59.9094673,10.7408579,First Hotel Grims Grenka,hotel,,,,,,
59.9094051,10.7531844,Thon Hotel Opera,hotel,,,,,,
59.9183802,10.7430197,Kunstindustrimuseet,museum,,,,,,
59.9126114,10.7463314,,artwork,,,,,,
59.9156733,10.7405002,Thon Hotel Rosenkrantz,hotel,,,,,,
59.9119374,10.7492141,Scandic Oslo City,hotel,,,,,,
59.9176373,10.7726692,Dufthagen,attraction,,,,,,
59.9111600,10.7241130,Thon Hotel Vika Atrium,hotel,,,,,,
59.9128373,10.7373753,Thon Hotel Cecil,hotel,,,,,,
59.9131290,10.7387388,C.J. Hambro,artwork,,,,,,https://photos.app.goo.gl/CUbwzeiTierqRK4F7
59.9118600,10.7498920,Fru Fortuna,artwork,,,,,,
59.9085334,10.7513819,Kirsten Flagstad,artwork,monument,,,,,Kirsten Målfrid Flagstad (1895 – 1962) was a Norwegian opera singer and a highly regarded Wagnerian soprano. (wikiedia)
59.9175931,10.7580352,Anker Hotel,hotel,,,,,,
59.9170481,10.7576499,Anker Hostel,hostel,,,,,,
59.9107657,10.7403974,Perminalen hotell,hostel,,,,,,
59.9110700,10.7406700,Park Inn,hotel,,,,,,
59.9103474,10.7472434,Citybox Oslo,hotel,,,,,,
59.9133628,10.7528011,Thon Hotel Terminus,hotel,,,,,,
59.9111520,10.7467970,Thon Hotel Astoria,hotel,,,,,,
59.9093690,10.7474280,Comfort Hotel Boersparken,hotel,,,,,,
59.9092572,10.7440119,Thon Hotel Oslo Panorama,hotel,,,,,,
59.9087590,10.7402266,Nasjonalmuseet - Arkitektur,museum,,,,,,
59.9143950,10.7418960,P-Hotels Oslo,hotel,,,,,,
59.9252990,10.7225350,Thon Hotel Gyldenløve,hotel,,,,,,
59.9206543,10.7280901,Cochs pensjonat,guest_house,,,,,,
59.9185361,10.7321280,Thon Hotel Slottsparken,hotel,,,,,,
59.9229511,10.7223842,Ellingsens Pensjonat,hotel,,,,,,
59.9196326,10.7542796,Office for Contemporary Art Norway,museum,,,,,,
59.9093823,10.7486690,Bretagne,artwork,,,,,,
59.9112850,10.7411743,First Hotel Millennium,hotel,,,,,,
59.9058388,10.7359588,,information,,,,,,
59.9089463,10.7376431,,information,,,,,,
59.9134724,10.7287820,,artwork,,,,,,
59.9136082,10.7285782,,artwork,,,,,,
59.9112846,10.7332827,,artwork,,,,,,
59.9146620,10.7402510,Hotell Bondeheimen,hotel,,,,,,
59.9149380,10.7299232,Kong Haakon VII,artwork,,,,,,
59.9113801,10.7328760,,artwork,,,,,,
59.9114115,10.7319566,,artwork,,,,,,
59.9110894,10.7326254,,artwork,,,,,,
59.9114925,10.7329765,,artwork,,,,,,
59.9109671,10.7339744,,artwork,,,,,,
59.9068101,10.7783262,,information,,,,,,
59.9131056,10.7481539,Den Norske Turistforening,information,,,,,,
59.9154041,10.7347313,A. M. Schweigaard,artwork,,,,,,
59.9151773,10.7354966,P. A. Munch,artwork,memorial,,,,,
59.9222489,10.7510382,Scandic Hotel,hotel,,,,,,
59.9220305,10.7513091,PS:Hotell,hotel,,,,,,
59.9197770,10.7610330,Popsenteret,museum,,,,,,Interactive museum of popular music. Experience Centre for and history of Norwegian Popular Music
59.9140900,10.7335210,Hotel Continental,hotel,,,,,,
59.9143770,10.7412730,Scandic Grensen,hotel,,,,,,
59.9125956,10.7369481,Scandic Victoria,hotel,,,,,,
59.9151624,10.7397121,Hotel Bristol,hotel,,,,,,
